Net_Metrekare,Brüt_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Eşya_Durumu,Binanın_Yaşı,Isıtma_Tipi,Fiyat,Şehir,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Takas,Banyo_Sayısı
100.0,125.00000000000004,4.0,3.Kat,0,1.0,Kombi Doğalgaz,14.038654909278163,adana,10.0,Boş,0,1,1.0
89.0,95.0,3.0,4.Kat,0,0.0,Kombi Doğalgaz,14.375126917328108,adana,14.0,Boş,1,1,1.0
140.0,150.0,4.0,Düz Giriş (Zemin),0,2.0,Klimalı,14.346139397261563,adana,4.0,Boş,1,0,1.0
90.0,110.0,3.0,2.Kat,0,0.0,Kombi Doğalgaz,14.346139397261563,adana,14.0,Boş,1,1,1.0
105.0,145.0,4.0,8.Kat,0,1.0,Kombi Doğalgaz,14.506155109559108,adana,11.0,Boş,1,0,1.0
110.0,130.0,4.0,4.Kat,0,2.0,Kombi Doğalgaz,14.751604309291396,adana,11.0,Boş,1,0,1.0
100.0,120.0,3.0,2.Kat,0,0.0,Kombi Doğalgaz,14.71770277113836,adana,5.999999999999999,Boş,1,0,1.0
130.0,145.0,4.0,2.Kat,0,4.0,Kombi Doğalgaz,14.550279892831233,adana,9.0,Boş,1,0,1.0
90.0,110.0,3.0,2.Kat,0,2.0,Klimalı,14.394929533419807,adana,3.0,Kiracı Oturuyor,1,0,1.0
100.0,120.0,4.0,2.Kat,0,1.0,Kombi Doğalgaz,14.55267510240978,adana,10.0,Boş,1,0,1.0
140.0,150.0,4.0,5.Kat,0,1.0,Klimalı,14.978661680269909,adana,5.0,Boş,1,0,2.0
220.0,250.0,5.0,8.Kat,0,5.0,Kombi Doğalgaz,15.250595321348806,adana,12.0,Mülk Sahibi Oturuyor,1,1,1.0
80.0,95.0,3.0,12.Kat,0,0.0,Klimalı,14.148405690083225,adana,13.0,Boş,0,0,1.0
85.0,110.0,3.0,1.Kat,0,0.0,Kombi Doğalgaz,14.678400935052151,adana,14.0,Boş,1,0,2.0
125.0,175.0,4.5,1.Kat,0,2.0,Kombi Doğalgaz,14.808762701344858,adana,10.0,Boş,1,1,2.0
140.0,150.0,4.0,6.Kat,0,5.0,Kombi Doğalgaz,14.686804342317648,adana,8.0,Boş,1,1,1.0
195.0,200.0,5.0,30.Kat,0,2.0,Sobalı,15.226497775576943,adana,2.0,Kiracı Oturuyor,0,1,1.0
110.0,130.0,4.0,17.Kat,0,1.0,Kombi Doğalgaz,15.150511887854474,adana,3.0,Mülk Sahibi Oturuyor,1,1,2.0
130.0,140.0,4.0,4.Kat,0,2.0,Kombi Doğalgaz,14.648420115681892,adana,4.0,Mülk Sahibi Oturuyor,1,0,2.0
70.0,79.99999999999999,3.0,2.Kat,0,4.0,Klimalı,13.98525417643287,adana,12.0,Boş,1,0,1.0
200.0,250.0,5.999999999999999,9.Kat,0,0.0,Kombi Doğalgaz,15.519895129591632,adana,15.0,Boş,1,1,2.0
110.0,159.99999999999997,4.0,5.Kat,0,5.0,Klimalı,14.506155109559108,adana,7.0,Boş,0,0,1.0
80.0,90.0,3.0,Yüksek Giriş,0,1.0,Klimalı,14.074022025316252,adana,10.0,Boş,0,0,1.0
200.0,280.0,5.999999999999999,Bahçe Dublex,0,4.0,Kombi Doğalgaz,15.648092181712574,adana,3.0,Boş,1,0,3.0
110.0,125.00000000000004,4.0,4.Kat,0,1.0,Klimalı,14.285514812209817,adana,11.0,Boş,1,1,2.0
115.0,130.0,3.0,1.Kat,0,2.0,Klimalı,14.626441218624947,adana,5.0,Boş,1,0,1.0
105.0,159.99999999999997,4.0,7.Kat,0,1.0,Kombi Doğalgaz,14.4306967375949,adana,13.0,Boş,1,0,2.0
110.0,130.0,4.0,11.Kat,0,1.0,Kombi Doğalgaz,14.316286451937186,adana,13.0,Kiracı Oturuyor,0,0,2.0
85.0,90.0,4.0,2.Kat,0,5.0,Klimalı,14.325336281997105,adana,12.0,Boş,1,0,1.0
130.0,140.0,3.0,21.Kat,0,4.0,Klimalı,14.403297778421797,adana,1.0,Boş,1,0,1.0
95.0,125.00000000000004,3.0,5.Kat,0,1.0,Klimalı,14.108180918195472,adana,5.0,Boş,0,0,2.0
147.0,150.0,4.0,1.Kat,0,1.0,Klimalı,14.731801689838347,adana,5.0,Boş,1,0,2.0
80.0,110.0,3.0,3.Kat,0,1.0,Klimalı,13.981025843899117,adana,12.0,Boş,0,0,2.0
140.0,150.0,4.0,1.Kat,0,0.0,Klimalı,14.731801689838347,adana,5.0,Boş,1,0,3.0
145.0,150.0,4.0,4.Kat,0,2.0,Klimalı,14.731801689838347,adana,5.0,Boş,1,0,1.0
110.0,120.0,3.0,Müstakil,1,5.0,Klimalı,14.603968372873895,adana,2.0,Boş,1,0,2.0
130.0,140.0,3.0,1.Kat,0,2.0,Klimalı,14.731801689838347,adana,5.999999999999999,Boş,1,0,1.0
100.0,120.0,3.0,2.Kat,0,0.0,Kombi Doğalgaz,14.686804342317648,adana,5.0,Boş,1,0,1.0
85.0,125.00000000000004,3.0,4.Kat,0,1.0,Klimalı,14.38082493519599,adana,10.0,Boş,1,1,2.0
100.0,110.0,3.0,21.Kat,0,5.0,Diğer,14.880221639784228,adana,2.0,Kiracı Oturuyor,1,0,1.0
100.0,120.0,3.0,6.Kat,0,0.0,Klimalı,14.725783619927272,adana,10.0,Boş,1,0,1.0
80.0,90.0,3.0,1.Kat,0,0.0,Diğer,14.71159899068409,adana,8.0,Boş,0,0,1.0
147.0,170.0,4.0,7.Kat,0,3.0,Kombi Doğalgaz,14.678400935052151,adana,11.0,Kiracı Oturuyor,1,0,1.0
80.0,90.0,3.0,1.Kat,1,1.0,Diğer,14.316286451937186,adana,13.0,Mülk Sahibi Oturuyor,1,0,1.0
175.0,230.0,5.0,10.Kat,0,4.0,Kombi Doğalgaz,15.606936805013316,adana,12.0,Mülk Sahibi Oturuyor,0,0,2.0
200.0,240.0,5.0,10.Kat,0,3.0,Kombi Doğalgaz,15.606936805013316,adana,12.0,Mülk Sahibi Oturuyor,1,1,2.0
120.0,150.0,4.0,1.Kat,0,5.0,Klimalı,14.914123179965662,adana,5.0,Kiracı Oturuyor,1,1,1.0
149.0,200.0,5.0,10.Kat,0,0.0,Yerden Isıtma,15.747032114495012,adana,14.0,Boş,1,1,2.0
78.0,100.0,3.0,9.Kat,0,0.0,Kombi Doğalgaz,14.220976332738882,adana,9.0,Boş,1,1,1.0
76.0,100.0,3.0,1.Kat,0,0.0,Kombi Doğalgaz,14.11561589115508,adana,9.0,Boş,1,1,1.0
76.0,100.0,3.0,2.Kat,0,0.0,Kombi Doğalgaz,14.346139397261563,adana,9.0,Boş,1,1,1.0
160.0,210.0,5.0,1.Kat,0,0.0,Kombi Doğalgaz,15.226497775576943,adana,9.0,Boş,1,0,2.0
125.0,165.0,3.0,Müstakil,0,0.0,Diğer,14.690979711984754,adana,1.0,Boş,1,0,1.0
160.0,220.0,4.0,4.Kat,0,5.0,Klimalı,14.978661680269909,adana,8.0,Kiracı Oturuyor,1,0,1.0
100.0,120.0,3.0,30.Kat,0,5.0,Klimalı,15.024471202308668,adana,3.0,Boş,0,0,1.0
85.0,120.0,3.0,2.Kat,0,2.0,Klimalı,14.761360480429412,adana,8.0,Boş,0,0,2.0
80.0,88.0,3.0,5.Kat,0,3.0,Diğer,14.220976332738882,adana,5.999999999999999,Boş,0,0,1.0
85.0,125.00000000000004,5.0,7.Kat,0,1.0,Klimalı,14.648420115681892,adana,14.0,Boş,0,0,2.0
170.0,240.0,5.0,11.Kat,0,2.0,Kombi Doğalgaz,15.345905479508115,adana,12.0,Mülk Sahibi Oturuyor,0,0,2.0
150.0,175.0,4.0,Yüksek Giriş,0,3.0,Kombi Doğalgaz,14.690979711984754,adana,9.0,Kiracı Oturuyor,1,0,1.0
93.0,110.0,3.0,2.Kat,0,0.0,Kombi Doğalgaz,14.151983508870948,adana,5.0,Boş,0,0,1.0
90.0,110.0,3.0,15.Kat,0,2.0,Kombi Doğalgaz,13.972515161474428,adana,15.0,Boş,0,0,1.0
125.0,145.0,4.0,5.Kat,0,1.0,Kombi Doğalgaz,14.557448378884017,adana,8.0,Boş,1,1,2.0
90.0,95.0,3.0,Düz Giriş (Zemin),0,2.0,Diğer,13.997832948091215,adana,15.0,Boş,1,0,2.0
65.0,85.0,3.0,5.Kat,0,2.0,Klimalı,13.88317014101709,adana,5.0,Kiracı Oturuyor,0,1,1.0
240.00000000000003,250.0,5.0,6.Kat,0,4.0,Kombi Doğalgaz,15.137266664613223,adana,12.0,Boş,0,1,2.0
120.0,170.0,4.0,7.Kat,0,2.0,Kombi Doğalgaz,14.89051332229012,adana,12.0,Boş,1,0,2.0
125.0,150.0,5.0,3.Kat,0,5.0,Diğer,14.508658238524095,adana,3.0,Boş,0,0,1.0
110.0,120.0,4.0,6.Kat,0,3.0,Kombi Doğalgaz,14.648420115681892,adana,10.0,Kiracı Oturuyor,1,0,1.0
165.0,180.0,4.0,9.Kat,0,3.0,Klimalı,14.790070575320824,adana,9.0,Boş,1,0,1.0
135.0,159.99999999999997,4.0,8.Kat,0,5.0,Kombi Doğalgaz,14.77102238760702,adana,13.0,Mülk Sahibi Oturuyor,0,0,1.0
120.0,140.0,4.0,Yüksek Giriş,0,0.0,Kombi Doğalgaz,14.467836264837162,adana,5.0,Boş,0,0,2.0
105.0,120.0,3.0,6.Kat,0,0.0,Kombi Doğalgaz,14.71770277113836,adana,14.0,Boş,1,0,2.0
230.0,250.0,5.0,4.Kat,0,2.0,Kombi Doğalgaz,15.72505321099685,adana,3.0,Boş,0,0,2.0
130.0,165.0,4.0,14.Kat,0,1.0,Kombi Doğalgaz,14.862829903121966,adana,15.0,Kiracı Oturuyor,1,0,2.0
85.0,130.0,3.0,Düz Giriş (Zemin),0,4.0,Klimalı,14.030622744032506,adana,4.0,Kiracı Oturuyor,1,0,1.0
130.0,165.0,4.0,4.Kat,0,2.0,Kombi Doğalgaz,14.580978865220017,adana,5.999999999999999,Boş,1,0,2.0
115.0,120.0,8.0,3.Kat,0,3.0,Sobalı,14.962913328262085,adana,2.0,Mülk Sahibi Oturuyor,0,0,2.0
90.0,120.0,3.0,8.Kat,1,2.0,Kombi Doğalgaz,14.51860856442677,adana,12.0,Boş,0,1,2.0
135.0,155.0,4.0,6.Kat,0,4.0,Kombi Doğalgaz,15.024471202308668,adana,11.0,Boş,0,0,2.0
100.0,110.0,3.0,5.Kat,0,5.0,Klimalı,14.316286451937186,adana,2.0,Kiracı Oturuyor,0,0,2.0
80.0,100.0,3.0,2.Kat,0,1.0,Kombi Doğalgaz,14.207553321415745,adana,5.0,Kiracı Oturuyor,1,0,2.0
130.0,150.0,4.0,1.Kat,0,0.0,Kombi Doğalgaz,14.25376613405651,adana,4.0,Boş,0,1,2.0
65.0,85.0,3.0,12.Kat,1,1.0,Klimalı,14.54547219357453,adana,12.0,Boş,0,1,1.0
100.0,115.0,3.0,2.Kat,0,0.0,Kombi Doğalgaz,14.328334783195157,adana,13.0,Boş,0,1,1.0
