iter	RMSE
0	0.4286092839
1	0.4186008893
2	0.4092912276
3	0.4012837941
4	0.3934182835
5	0.3860966359
6	0.3794493626
7	0.3736533169
8	0.3681289604
9	0.3628114184
10	0.3578419597
11	0.3534801775
12	0.3496966211
13	0.3459349982
14	0.3426520954
15	0.3394496123
16	0.3366923736
17	0.3338986306
18	0.3311501463
19	0.3287697198
20	0.3265344692
21	0.3242191724
22	0.3222515264
23	0.3203379716
24	0.3186909238
25	0.317364556
26	0.3157682742
27	0.3142161082
28	0.3128332768
29	0.3113744152
30	0.3101876502
31	0.3084822374
32	0.3072584791
33	0.3061919242
34	0.30519728
35	0.304362565
36	0.303514988
37	0.302614186
38	0.3016848757
39	0.3008435156
40	0.3001062929
41	0.2992974232
42	0.2984817322
43	0.2979249817
44	0.2973198609
45	0.2967048652
46	0.2959127048
47	0.2953361054
48	0.2946629119
49	0.2941956268
50	0.2936409327
51	0.2931333951
52	0.2927176308
53	0.2921390909
54	0.2917487084
55	0.2913165938
56	0.2909666016
57	0.2904688533
58	0.2898658209
59	0.2894365611
60	0.2893305109
61	0.2888968695
62	0.2886312869
63	0.2882306475
64	0.2878157103
65	0.2875503382
66	0.2873121947
67	0.2869332112
68	0.2865718819
69	0.2862369171
70	0.2860078737
71	0.2857668664
72	0.2855353316
73	0.2852637424
74	0.2849748599
75	0.2846123787
76	0.2844008201
77	0.2841513068
78	0.2839923003
79	0.2837041006
80	0.2834991241
81	0.283142663
82	0.2829198329
83	0.2826797765
84	0.2823494245
85	0.2819492675
86	0.2817802578
87	0.2814419831
88	0.2812158296
89	0.2810978837
90	0.2810611825
91	0.280815071
92	0.2805832702
93	0.2802969977
94	0.2800868819
95	0.2799629525
96	0.2797123988
97	0.2793943914
98	0.2791342188
99	0.2790214688
100	0.2789231871
101	0.2786870646
102	0.2785803744
103	0.2784699698
104	0.2783467443
105	0.2781864411
106	0.2781552985
107	0.2780295788
108	0.2778834722
109	0.2776713903
110	0.2775132173
111	0.2773791196
112	0.2772119588
113	0.2769956463
114	0.2769055366
115	0.2766766183
116	0.2765105726
117	0.2763908341
118	0.2761719441
119	0.2759247737
120	0.2757691212
121	0.275677502
122	0.2755624702
123	0.27539948
124	0.2751661091
125	0.2749886999
126	0.2746026601
127	0.2743780956
128	0.2742452777
129	0.274177994
130	0.274049567
131	0.2737855171
132	0.27363173
133	0.273470273
134	0.2733706172
135	0.273199149
136	0.2730688536
137	0.2729452292
138	0.2727849289
139	0.2727019437
140	0.2725336431
141	0.2724088467
142	0.2722309394
143	0.2721298164
144	0.2720563914
145	0.2719623858
146	0.2717791495
147	0.2716511727
148	0.2715838038
149	0.2713961988
150	0.2712954618
151	0.2710483841
152	0.2709067381
153	0.2707263684
154	0.2706104742
155	0.2703512853
156	0.2702287863
157	0.2700370891
158	0.2699539229
159	0.26988781
160	0.2696516103
161	0.269497509
162	0.2694662199
163	0.2693822579
164	0.2692109203
165	0.2691134096
166	0.2690362557
167	0.268920707
168	0.2688160479
169	0.2685714175
170	0.2684991013
171	0.2683951888
172	0.2683818618
173	0.2682520444
174	0.2681019739
175	0.2680516896
176	0.2679672498
177	0.2678437031
178	0.2676608981
179	0.2674900707
180	0.2672631896
181	0.2671439921
182	0.2670689486
183	0.267047987
184	0.2668976984
185	0.2666931577
186	0.2665668674
187	0.2664316504
188	0.2662297015
189	0.2661039799
190	0.2659736156
191	0.2658653279
192	0.2657791658
193	0.2655647895
194	0.265502548
195	0.2653236183
196	0.2651689412
197	0.2649941589
198	0.2648501278
199	0.2647363347
200	0.2646389848
201	0.264566646
202	0.2644600778
203	0.2643525149
204	0.2643051314
205	0.2641850034
206	0.2640836641
207	0.2640244405
208	0.2639258846
209	0.2637832947
210	0.2636701802
211	0.2634975213
212	0.2634591933
213	0.263357984
214	0.2632139297
215	0.2631384446
216	0.2630868586
217	0.2629913336
218	0.2629272481
219	0.2627002718
220	0.262629445
221	0.2625091149
222	0.2623971351
223	0.2623841753
224	0.2623225664
225	0.2620979171
226	0.2619352496
227	0.2618619628
228	0.2617584789
229	0.2616985646
230	0.2616540942
231	0.2615494541
232	0.2613864484
233	0.2612532287
234	0.261148998
235	0.2610907929
236	0.2609263194
237	0.2608853036
238	0.2607880369
239	0.2607172807
240	0.2606812523
241	0.2604961541
242	0.2604193986
243	0.2603747826
244	0.2602580031
245	0.2601881122
246	0.2599993669
247	0.2599721028
248	0.2599292487
249	0.2598219182
250	0.2597710882
251	0.2596130208
252	0.2595337313
253	0.2594547305
254	0.2593596035
255	0.2592502408
256	0.2591978282
257	0.2590736937
258	0.2589825105
259	0.2588383633
260	0.2587642516
261	0.2586695353
262	0.2585974777
263	0.2585068137
264	0.2583878419
265	0.2583718866
266	0.2582067146
267	0.2580939775
268	0.2579750913
269	0.2579487826
270	0.2579276915
271	0.257883803
272	0.2578233078
273	0.2577489164
274	0.257626363
275	0.2575760254
276	0.2573405038
277	0.2572139315
278	0.2571039124
279	0.2569957755
280	0.2569389296
281	0.2568372232
282	0.2567693072
283	0.2566593875
284	0.2565505575
285	0.2564938806
286	0.2564078276
287	0.256327586
288	0.2562267061
289	0.2561080412
290	0.256032926
291	0.2559574547
292	0.2559140179
293	0.2558884409
294	0.2558829749
295	0.2558202125
296	0.255628057
297	0.2556146268
298	0.2555864142
299	0.2555667453
300	0.2554990328
301	0.2554317649
302	0.255375445
303	0.2553518256
304	0.2553270071
305	0.2552501475
306	0.2552457964
307	0.2551654573
308	0.2551136616
309	0.255012227
310	0.2549336385
311	0.2547856718
312	0.2547101807
313	0.2546817492
314	0.2545849784
315	0.2544557543
316	0.2543542044
317	0.2542273056
318	0.2541583684
319	0.2541405545
320	0.2541021345
321	0.2540820045
322	0.2540629216
323	0.2540583786
324	0.2539838132
325	0.2539742578
326	0.2538449798
327	0.2538334406
328	0.2538138087
329	0.2537011919
330	0.2536332467
331	0.2535509991
332	0.2534407648
333	0.2533816342
334	0.2533450551
335	0.2532644516
336	0.2531879462
337	0.2531624278
338	0.2530990745
339	0.2530929539
340	0.2530105165
341	0.2529359529
342	0.252929428
343	0.2529150697
344	0.2528275704
345	0.2528196685
346	0.2528141735
347	0.2528098376
348	0.2528079147
349	0.2528037423
350	0.2527563287
351	0.2527165038
352	0.2526317376
353	0.2524871801
354	0.252289559
355	0.2521927672
356	0.2521336216
357	0.2521284404
358	0.252118378
359	0.2521155546
360	0.2520440226
361	0.2520176204
362	0.251976077
363	0.2519354027
364	0.2518544302
365	0.2518372178
366	0.2517901332
367	0.2517833091
368	0.2517298884
369	0.2516553833
370	0.2515687342
371	0.2514935067
372	0.2514887884
373	0.2514783737
374	0.2514500684
375	0.2513956357
376	0.2513935079
377	0.2513223956
378	0.2512428238
379	0.2511023419
380	0.2510534325
381	0.250948481
382	0.2508579679
383	0.2508072214
384	0.2506507262
385	0.2505893394
386	0.2505860491
387	0.250516787
388	0.2503542469
389	0.2502985137
390	0.2501277463
391	0.2500938833
392	0.2500506031
393	0.2500080812
394	0.2499244435
395	0.2498276153
396	0.2497638421
397	0.2496300144
398	0.2495190908
399	0.2495135976
400	0.249469348
401	0.2494020852
402	0.2493843802
