iter	Passed	Remaining
0	44	44675
1	96	48174
2	145	48300
3	197	49187
4	248	49421
5	332	55073
6	392	55623
7	444	55178
8	494	54427
9	543	53790
10	592	53307
11	645	53152
12	695	52795
13	741	52238
14	777	51042
15	812	49986
16	847	48980
17	890	48573
18	929	48012
19	965	47320
20	1003	46803
21	1043	46369
22	1078	45827
23	1118	45485
24	1157	45148
25	1194	44748
26	1233	44457
27	1271	44145
28	1310	43864
29	1348	43617
30	1386	43332
31	1424	43096
32	1463	42877
33	1500	42639
34	1539	42452
35	1577	42229
36	1615	42042
37	1652	41825
38	1691	41669
39	1728	41484
40	1766	41316
41	1803	41143
42	1841	40978
43	1883	40917
44	1921	40787
45	1957	40594
46	1994	40446
47	2031	40294
48	2068	40154
49	2105	40011
50	2143	39888
51	2178	39720
52	2213	39553
53	2250	39417
54	2286	39294
55	2325	39193
56	2361	39067
57	2396	38917
58	2431	38786
59	2469	38683
60	2488	38302
61	2522	38158
62	2565	38162
63	2602	38059
64	2638	37950
65	2674	37844
66	2711	37753
67	2747	37656
68	2784	37564
69	2819	37463
70	2862	37452
71	2901	37394
72	2939	37324
73	2976	37246
74	3012	37152
75	3049	37072
76	3084	36979
77	3120	36885
78	3159	36838
79	3195	36749
80	3233	36691
81	3270	36615
82	3307	36540
83	3344	36474
84	3382	36411
85	3418	36332
86	3454	36257
87	3493	36200
88	3530	36137
89	3566	36062
90	3605	36013
91	3645	35974
92	3683	35922
93	3720	35856
94	3756	35785
95	3791	35705
96	3827	35629
97	3868	35610
98	3910	35593
99	3946	35519
100	3981	35441
101	4017	35374
102	4060	35359
103	4098	35306
104	4133	35235
105	4167	35145
106	4185	34933
107	4219	34849
108	4257	34798
109	4295	34757
110	4332	34700
111	4368	34634
112	4402	34558
113	4437	34488
114	4472	34420
115	4510	34372
116	4547	34319
117	4582	34250
118	4617	34187
119	4654	34133
120	4694	34099
121	4734	34070
122	4773	34038
123	4812	33999
124	4857	34000
125	4895	33956
126	4932	33906
127	4968	33850
128	5004	33788
129	5050	33801
130	5087	33749
131	5124	33697
132	5161	33645
133	5198	33597
134	5235	33544
135	5273	33499
136	5309	33443
137	5344	33380
138	5380	33328
139	5419	33290
140	5458	33255
141	5497	33215
142	5533	33164
143	5569	33108
144	5606	33059
145	5644	33013
146	5679	32956
147	5715	32904
148	5750	32843
149	5784	32778
150	5818	32713
151	5861	32699
152	5901	32668
153	5937	32616
154	5973	32567
155	6010	32517
156	6047	32470
157	6084	32426
158	6121	32376
159	6157	32326
160	6194	32281
161	6232	32238
162	6284	32269
163	6322	32228
164	6361	32191
165	6399	32151
166	6434	32095
167	6471	32048
168	6511	32017
169	6554	32001
170	6591	31955
171	6627	31905
172	6663	31853
173	6699	31803
174	6735	31752
175	6770	31697
176	6807	31654
177	6845	31613
178	6882	31568
179	6920	31524
180	6957	31483
181	6993	31434
182	7030	31386
183	7065	31333
184	7104	31300
185	7141	31254
186	7178	31207
187	7212	31153
188	7248	31102
189	7285	31059
190	7321	31010
191	7357	30963
192	7394	30919
193	7435	30890
194	7472	30848
195	7508	30798
196	7547	30764
197	7583	30715
198	7620	30673
199	7656	30626
200	7737	30759
201	7881	31134
202	7931	31140
203	7967	31087
204	8002	31032
205	8041	30993
206	8080	30953
207	8118	30914
208	8154	30861
209	8190	30812
210	8225	30759
211	8263	30716
212	8300	30667
213	8337	30621
214	8374	30577
215	8411	30530
216	8446	30476
217	8484	30436
218	8536	30444
219	8579	30417
220	8616	30373
221	8655	30332
222	8691	30282
223	8729	30242
224	8765	30192
225	8808	30167
226	8846	30124
227	8881	30072
228	8914	30014
229	8950	29964
230	8984	29910
231	9024	29872
232	9064	29838
233	9100	29790
234	9136	29742
235	9174	29699
236	9211	29656
237	9248	29611
238	9286	29569
239	9323	29522
240	9359	29476
241	9395	29429
242	9432	29385
243	9470	29344
244	9505	29293
245	9542	29249
246	9579	29204
247	9615	29157
248	9652	29112
249	9688	29066
250	9727	29028
251	9763	28979
252	9805	28950
253	9841	28905
254	9876	28854
255	9912	28807
256	9948	28761
257	9983	28711
258	10020	28667
259	10057	28624
260	10092	28577
261	10129	28532
262	10166	28490
263	10202	28442
264	10237	28394
265	10282	28374
266	10317	28323
267	10354	28281
268	10390	28234
269	10424	28184
270	10460	28140
271	10499	28101
272	10536	28058
273	10573	28014
274	10606	27962
275	10642	27917
276	10679	27873
277	10713	27824
278	10748	27776
279	10785	27733
280	10825	27699
281	10865	27664
282	10903	27623
283	10939	27581
284	10978	27543
285	11015	27500
286	11052	27457
287	11088	27412
288	11124	27369
289	11158	27319
290	11194	27274
291	11228	27224
292	11262	27177
293	11297	27130
294	11333	27084
295	11371	27045
296	11409	27005
297	11442	26955
298	11477	26907
299	11513	26864
300	11546	26814
301	11582	26769
302	11619	26728
303	11653	26679
304	11687	26631
305	11723	26587
306	11763	26555
307	11801	26514
308	11836	26469
309	11872	26424
310	11908	26382
311	11943	26337
312	11981	26298
313	12016	26252
314	12052	26209
315	12089	26169
316	12125	26124
317	12157	26074
318	12193	26031
319	12228	25984
320	12263	25941
321	12300	25899
322	12334	25853
323	12369	25808
324	12404	25763
325	12444	25729
326	12481	25687
327	12517	25644
328	12552	25599
329	12589	25560
330	12625	25518
331	12660	25472
332	12696	25430
333	12739	25402
334	12775	25360
335	12811	25317
336	12846	25274
337	12881	25229
338	12918	25188
339	12951	25142
340	12987	25099
341	13021	25052
342	13057	25010
343	13093	24969
344	13132	24933
345	13169	24892
346	13206	24852
347	13244	24814
348	13280	24772
349	13317	24733
350	13356	24695
351	13399	24667
352	13435	24625
353	13473	24586
354	13510	24546
355	13544	24502
356	13579	24458
357	13612	24410
358	13646	24366
359	13680	24321
360	13720	24286
361	13757	24246
362	13796	24210
363	13831	24166
364	13865	24122
365	13899	24076
366	13931	24029
367	13966	23986
368	14002	23944
369	14040	23906
370	14077	23867
371	14111	23822
372	14144	23776
373	14181	23737
374	14219	23698
375	14255	23657
376	14289	23614
377	14327	23575
378	14362	23533
379	14398	23492
380	14438	23457
381	14474	23417
382	14512	23378
383	14548	23338
384	14591	23308
385	14626	23266
386	14667	23232
387	14718	23215
388	14763	23189
389	14809	23163
390	14860	23146
391	14903	23116
392	14946	23085
393	14988	23053
394	15031	23022
395	15073	22990
396	15115	22958
397	15158	22928
398	15197	22891
399	15235	22853
400	15273	22814
401	15314	22781
402	15354	22746
403	15394	22710
404	15434	22676
405	15478	22645
406	15523	22617
407	15560	22578
408	15606	22551
409	15644	22513
410	15681	22472
411	15726	22443
412	15764	22406
413	15814	22384
414	15857	22353
415	15893	22311
416	15931	22274
417	15974	22242
418	16018	22211
419	16055	22172
420	16094	22134
421	16129	22091
422	16165	22051
423	16204	22013
424	16258	21996
425	16297	21960
426	16332	21916
427	16367	21873
428	16414	21848
429	16473	21837
430	16515	21804
431	16557	21770
432	16599	21737
433	16655	21721
434	16705	21698
435	16756	21675
436	16798	21642
437	16839	21606
438	16886	21578
439	16930	21548
440	17053	21616
441	17103	21592
442	17152	21566
443	17200	21539
444	17251	21515
445	17314	21507
446	17361	21478
447	17404	21444
448	17442	21405
449	17483	21369
450	17523	21331
451	17575	21307
452	17627	21284
453	17668	21249
454	17711	21214
455	17750	21175
456	17793	21141
457	17854	21129
458	17907	21106
459	17946	21067
460	17993	21038
461	18041	21009
462	18089	20980
463	18130	20944
464	18171	20906
465	18214	20872
466	18255	20835
467	18292	20793
468	18332	20755
469	18376	20722
470	18435	20706
471	18486	20679
472	18548	20666
473	18601	20641
474	18638	20600
475	18680	20564
476	18720	20525
477	18770	20497
478	18819	20469
479	18859	20430
480	18896	20389
481	18936	20350
482	18976	20312
483	19015	20272
484	19060	20239
485	19102	20202
486	19143	20165
487	19178	20122
488	19213	20077
489	19249	20034
490	19286	19993
491	19327	19955
492	19394	19945
493	19442	19915
494	19512	19907
495	19630	19946
496	19715	19953
497	19807	19967
498	19861	19941
499	19915	19915
500	19958	19879
501	20005	19845
502	20058	19818
503	20122	19803
504	20179	19780
505	20237	19757
506	20280	19720
507	20337	19696
508	20408	19686
509	20452	19650
510	20491	19609
511	20529	19567
512	20569	19527
513	20610	19488
514	20649	19447
515	20686	19404
516	20723	19360
517	20758	19315
518	20794	19272
519	20834	19231
520	20870	19187
521	20907	19144
522	20945	19103
523	20983	19061
524	21028	19025
525	21072	18989
526	21113	18950
527	21152	18909
528	21190	18866
529	21224	18822
530	21262	18779
531	21296	18734
532	21333	18691
533	21374	18652
534	21413	18611
535	21453	18571
536	21492	18530
537	21531	18489
538	21567	18446
539	21605	18404
540	21641	18361
541	21684	18323
542	21721	18281
543	21763	18243
544	21802	18202
545	21841	18161
546	21882	18121
547	21923	18082
548	21966	18045
549	22006	18005
550	22050	17968
551	22122	17954
552	22181	17929
553	22216	17885
554	22252	17842
555	22289	17799
556	22325	17756
557	22362	17713
558	22399	17671
559	22436	17628
560	22474	17586
561	22509	17542
562	22546	17500
563	22584	17459
564	22621	17416
565	22663	17378
566	22700	17335
567	22736	17292
568	22773	17250
569	22811	17208
570	22848	17166
571	22886	17124
572	22924	17083
573	22962	17041
574	22999	16999
575	23038	16958
576	23074	16915
577	23110	16873
578	23145	16829
579	23182	16787
580	23219	16745
581	23255	16702
582	23291	16659
583	23328	16617
584	23366	16576
585	23402	16533
586	23440	16491
587	23474	16447
588	23511	16406
589	23548	16364
590	23584	16321
591	23621	16279
592	23660	16239
593	23695	16195
594	23729	16152
595	23766	16110
596	23799	16065
597	23838	16025
598	23874	15982
599	23908	15938
600	23941	15894
601	23978	15852
602	24013	15809
603	24049	15767
604	24086	15725
605	24120	15682
606	24157	15640
607	24193	15598
608	24231	15557
609	24274	15519
610	24310	15477
611	24349	15437
612	24387	15396
613	24422	15353
614	24458	15311
615	24496	15270
616	24530	15227
617	24563	15183
618	24601	15142
619	24640	15102
620	24677	15060
621	24714	15019
622	24751	14977
623	24787	14935
624	24822	14893
625	24858	14851
626	24893	14809
627	24930	14767
628	24966	14725
629	25002	14684
630	25037	14641
631	25074	14600
632	25112	14559
633	25149	14518
634	25185	14476
635	25222	14435
636	25261	14395
637	25297	14353
638	25335	14313
639	25372	14271
640	25411	14232
641	25448	14191
642	25486	14150
643	25524	14109
644	25561	14068
645	25611	14034
646	25650	13994
647	25683	13951
648	25720	13910
649	25756	13869
650	25797	13830
651	25834	13789
652	25869	13746
653	25904	13704
654	25943	13664
655	25981	13624
656	26017	13582
657	26051	13540
658	26086	13498
659	26121	13456
660	26156	13414
661	26191	13372
662	26226	13330
663	26262	13289
664	26299	13248
665	26337	13208
666	26375	13168
667	26416	13129
668	26455	13089
669	26495	13049
670	26536	13011
671	26576	12971
672	26617	12933
673	26661	12895
674	26702	12856
675	26742	12817
676	26781	12777
677	26819	12737
678	26857	12697
679	26896	12657
680	26932	12615
681	26968	12574
682	27004	12533
683	27038	12491
684	27075	12450
685	27111	12409
686	27146	12368
687	27183	12327
688	27227	12289
689	27265	12249
690	27303	12209
691	27339	12168
692	27377	12128
693	27413	12087
694	27447	12045
695	27483	12004
696	27520	11963
697	27557	11923
698	27592	11881
699	27632	11842
700	27671	11802
701	27708	11762
702	27746	11722
703	27782	11681
704	27817	11639
705	27852	11598
706	27887	11557
707	27922	11516
708	27959	11475
709	27995	11434
710	28033	11394
711	28070	11354
712	28106	11313
713	28142	11272
714	28181	11233
715	28216	11192
716	28253	11151
717	28288	11110
718	28324	11069
719	28359	11028
720	28393	10987
721	28429	10946
722	28466	10906
723	28504	10866
724	28541	10825
725	28578	10785
726	28617	10746
727	28653	10705
728	28690	10665
729	28726	10624
730	28762	10584
731	28797	10543
732	28833	10502
733	28868	10461
734	28902	10420
735	28937	10379
736	28972	10338
737	29008	10298
738	29041	10257
739	29077	10216
740	29114	10176
741	29147	10135
742	29182	10094
743	29218	10053
744	29255	10013
745	29295	9974
746	29332	9934
747	29366	9893
748	29403	9853
749	29438	9812
750	29476	9773
751	29514	9733
752	29548	9692
753	29586	9653
754	29624	9613
755	29658	9572
756	29698	9533
757	29735	9493
758	29770	9452
759	29806	9412
760	29842	9372
761	29879	9332
762	29916	9292
763	29952	9252
764	29988	9212
765	30024	9171
766	30058	9131
767	30093	9090
768	30131	9051
769	30170	9011
770	30205	8971
771	30243	8931
772	30284	8893
773	30323	8854
774	30366	8815
775	30404	8776
776	30441	8736
777	30477	8696
778	30510	8655
779	30546	8615
780	30585	8576
781	30620	8536
782	30655	8495
783	30692	8456
784	30729	8416
785	30768	8377
786	30808	8338
787	30843	8298
788	30881	8258
789	30920	8219
790	30957	8179
791	30994	8139
792	31033	8100
793	31071	8061
794	31108	8021
795	31143	7981
796	31180	7941
797	31216	7901
798	31256	7862
799	31292	7823
800	31329	7783
801	31366	7743
802	31402	7703
803	31436	7663
804	31474	7624
805	31509	7584
806	31564	7548
807	31601	7509
808	31638	7469
809	31673	7429
810	31711	7390
811	31748	7350
812	31781	7310
813	31816	7270
814	31850	7229
815	31883	7189
816	31920	7149
817	31957	7110
818	31992	7070
819	32029	7030
820	32064	6991
821	32101	6951
822	32138	6912
823	32176	6872
824	32211	6832
825	32245	6792
826	32282	6753
827	32317	6713
828	32354	6673
829	32391	6634
830	32427	6594
831	32463	6555
832	32499	6515
833	32535	6475
834	32579	6437
835	32615	6398
836	32657	6359
837	32696	6320
838	32734	6281
839	32771	6242
840	32807	6202
841	32843	6162
842	32878	6123
843	32914	6083
844	32950	6044
845	32989	6005
846	33025	5965
847	33062	5926
848	33100	5887
849	33135	5847
850	33170	5807
851	33206	5768
852	33242	5728
853	33278	5689
854	33322	5651
855	33357	5611
856	33391	5571
857	33425	5531
858	33463	5492
